game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video
4,22,00:11:09:05,00:11:16:03,00:00:06:28,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,23,00:11:23:07,00:11:39:23,00:00:16:16,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,24,00:12:18:02,00:12:20:29,00:00:02:27,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,25,00:12:26:07,00:12:32:09,00:00:06:02,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,26,00:12:41:10,00:12:49:17,00:00:08:07,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,27,00:12:57:22,00:13:02:19,00:00:04:27,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,28,00:14:41:01,00:14:48:03,00:00:07:02,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,29,00:14:54:16,00:15:06:15,00:00:11:29,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,30,00:15:15:01,00:15:21:25,00:00:06:24,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,4,8,1,strawberry,band,13:18:04
4,31,00:15:28:15,00:15:31:01,00:00:02:16,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,32,00:15:36:22,00:15:47:14,00:00:10:22,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,33,00:16:03:25,00:16:10:22,00:00:06:27,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,34,00:16:28:19,00:16:33:02,00:00:04:13,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,1,,,2,8,1,strawberry,band,13:18:04
4,35,00:16:44:26,00:16:46:07,00:00:01:11,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,,1,3,8,1,strawberry,band,13:18:04
4,36,00:16:56:08,00:16:57:01,00:00:00:23,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,37,00:17:08:01,00:17:10:04,00:00:02:03,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,38,00:17:17:14,00:17:19:01,00:00:01:17,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,39,00:17:27:23,00:17:29:04,00:00:01:11,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,2,8,1,strawberry,band,13:18:04
4,40,00:17:39:10,00:17:46:15,00:00:07:05,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,2,8,1,strawberry,band,13:18:04
4,41,00:18:03:25,00:18:19:10,00:00:15:15,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,42,00:19:25:24,00:19:39:05,00:00:13:11,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,43,00:19:49:02,00:20:13:12,00:00:24:10,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,44,00:20:28:20,00:20:33:11,00:00:04:21,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,45,00:20:43:07,00:20:44:16,00:00:01:09,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,46,00:20:51:12,00:21:04:29,00:00:13:17,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,47,00:21:13:25,00:21:21:02,00:00:07:07,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,48,00:21:39:00,00:21:40:18,00:00:01:18,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,4,8,1,strawberry,band,13:18:04
4,49,00:21:46:07,00:21:50:18,00:00:04:11,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,4,8,1,strawberry,band,13:18:04
4,50,00:21:57:20,00:22:03:02,00:00:05:12,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,51,00:22:10:13,00:22:18:09,00:00:07:26,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,52,00:22:24:10,00:22:32:17,00:00:08:07,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
